X1	X2	X3	X4	X5	Y1	Y2	Y3	Y4	Y5
1	1	4	4	1	23	41	11	28	20
2	3	3	2	2	71	83	46	78	61
2	2	2	1	1	72	86	52	11	31
2	2	3	2	2	78	61	75	68	76
4	4	3	NA	2	69	26	88	69	88
2	NA	1	1	NA	59	17	11	19	70
1	1	1	2	2	29	NA	11	77	72
NA	1	4	4	1	70	29	61	14	38
4	1	4	1	4	8	25	46	28	50
2	1	2	4	4	70	20	NA	28	11
4	4	3	2	4	16	47	86	68	41
3	3	1	3	2	88	42	85	50	72
3	2	2	2	3	82	87	55	79	73
4	4	2	3	2	60	15	52	49	96
4	4	1	1	3	3	23	53	32	83
4	4	1	NA	3	13	20	38	58	57
4	1	4	4	1	1	13	27	24	56
2	3	2	2	3	NA	65	54	86	61
3	3	3	2	3	NA	48	93	90	66
2	3	2	4	4	95	66	78	NA	62
2	1	1	4	4	75	29	45	15	33
1	2	NA	3	2	14	92	66	85	36
3	4	1	4	1	61	17	17	45	44
1	1	4	4	1	29	45	15	33	37
1	4	4	4	2	37	49	50	22	65
1	4	4	1	2	55	42	11	14	90
4	1	4	1	4	10	9	23	50	12
4	1	2	3	NA	11	14	90	91	54
1	4	1	4	1	55	7	52	7	10
4	1	4	NA	1	31	63	13	29	67
4	1	1	3	3	30	37	9	81	67
4	4	4	4	3	17	50	4	20	80
4	4	3	2	3	NA	13	89	78	80
4	1	4	1	1	8	42	18	NA	26
4	1	1	1	4	NA	64	27	11	37
2	1	3	2	3	78	32	NA	74	91
1	4	4	4	4	28	52	17	25	32
2	3	3	1	4	64	32	81	47	24
3	2	3	4	4	75	63	88	13	21
3	3	4	1	2	71	68	24	14	92
1	2	2	3	1	NA	100	NA	61	NA
1	3	4	4	1	40	93	41	57	33
NA	2	2	1	1	79	98	75	29	45
4	1	1	4	4	56	8	30	64	NA
1	1	4	4	4	16	14	11	75	20
3	3	3	1	3	93	88	42	85	50
3	4	1	4	4	84	11	12	13	20
1	4	4	1	1	44	16	13	31	34
3	2	2	1	1	85	36	87	29	35
2	3	2	1	4	70	39	91	42	29
NA	3	1	1	4	78	80	16	NA	6
2	1	1	4	4	68	14	39	NA	28
NA	3	3	NA	3	NA	67	78	76	73
3	2	2	2	3	79	96	90	80	77
4	3	2	2	2	24	82	87	55	79
4	1	1	1	3	21	9	11	3	55
NA	1	1	1	1	NA	33	15	14	25
2	3	4	3	3	62	93	22	69	70
1	3	2	3	3	13	38	67	79	80
3	NA	2	1	4	NA	97	86	45	34
2	3	3	3	1	71	93	88	42	85
2	3	4	1	1	79	84	22	18	71
3	3	2	2	2	80	94	88	96	54
