X1	X2	X3	X4	X5	Y1	Y2	Y3	Y4	Y5
1	1	3	4	3	41	35	76	52	87
1	1	3	4	1	53	21	97	5	7
1	2	4	4	4	16	85	17	90	20
1	1	3	4	3	1	31	89	4	91
4	1	3	4	3	47	1	78	2	85
2	1	3	1	1	89	8	90	1	54
1	1	3	1	4	28	1	73	2	7
2	3	3	2	3	87	94	61	87	99
1	1	4	1	1	7	5	4	20	57
3	3	3	4	3	85	76	80	40	69
3	1	3	4	3	88	36	86	9	85
4	3	3	4	1	8	68	96	17	35
1	3	2	4	2	76	66	90	9	59
3	1	3	4	3	87	26	96	14	89
2	1	3	4	3	85	14	97	40	82
1	3	3	4	3	10	70	83	3	84
4	1	3	3	1	19	54	88	92	5
4	1	3	1	1	22	21	81	40	20
3	1	2	3	1	81	6	77	87	7
4	1	3	4	3	81	3	88	5	86
2	1	3	4	1	90	3	65	46	22
1	2	4	4	3	10	64	63	47	88
2	1	3	2	3	86	9	96	68	59
1	1	3	4	3	40	32	77	46	93
1	1	3	2	1	41	1	58	97	22
1	3	3	3	1	24	93	75	85	60
1	4	3	4	2	41	2	68	25	99
4	1	3	4	4	73	9	95	29	17
1	2	3	4	3	20	57	73	42	83
4	3	3	4	3	22	42	82	18	80
1	1	3	4	1	23	66	84	9	29
1	1	3	4	4	72	39	95	24	14
1	1	3	3	3	48	8	77	88	88
2	2	3	1	1	50	85	74	8	52
3	4	3	4	1	86	26	91	39	7
2	1	3	1	3	92	12	84	65	95
1	3	3	4	3	31	99	84	46	61
1	1	3	2	2	26	6	90	60	85
1	1	3	4	1	36	14	88	51	18
1	1	3	4	3	36	15	85	8	89
1	1	3	4	1	24	21	83	1	7
1	1	3	4	4	66	9	90	43	38
1	1	1	4	1	83	30	12	27	32
1	1	1	4	3	73	34	8	10	96
1	4	3	4	3	28	69	75	15	95
1	4	2	4	3	39	40	92	19	94
2	1	3	1	4	77	12	57	33	15
1	3	4	4	4	3	84	12	13	63
1	1	3	4	3	19	10	75	6	92
1	1	3	4	1	2	25	94	78	27
4	1	1	4	2	4	17	9	49	90
1	4	4	2	3	12	34	6	85	89
1	2	3	4	3	19	86	79	47	78
1	4	3	4	4	59	40	82	35	60
1	1	3	4	3	5	8	97	39	79
1	1	3	2	4	31	10	85	81	59
1	1	3	3	3	3	38	76	53	65
1	1	3	1	3	24	26	88	1	73
1	1	4	4	4	42	38	49	5	63
4	2	4	3	3	89	77	71	89	60
1	3	3	4	2	32	84	80	37	50
2	1	2	4	3	83	49	98	48	90
1	1	3	4	3	14	44	67	18	89
1	4	3	1	3	4	17	86	27	55
1	1	3	4	4	24	70	80	11	25
1	1	3	4	3	15	39	64	7	86
1	1	4	4	1	12	6	33	56	45
2	1	3	4	3	86	24	68	3	65
1	2	1	4	4	41	78	17	6	2
1	1	1	4	3	70	19	30	35	73
2	4	3	3	4	84	1	59	56	26
1	3	4	1	3	41	80	56	34	70
2	1	3	4	2	79	31	63	22	71
2	2	3	1	4	78	82	85	3	5
4	3	2	3	2	9	77	84	84	74
1	1	3	4	2	28	58	78	1	66
1	1	3	4	2	29	52	93	81	81
1	3	3	4	3	7	85	87	34	57
1	1	3	4	1	7	9	65	55	30
1	1	3	4	1	16	33	85	51	12
1	2	3	3	2	28	70	62	78	85
1	1	3	4	2	9	23	82	56	72
1	2	3	4	1	42	66	62	13	31
1	1	3	2	3	2	64	89	86	60
1	1	1	3	4	5	46	2	62	18
1	1	3	4	2	25	2	85	7	93
1	1	3	2	3	10	37	52	82	82
1	2	3	4	2	25	76	73	34	82
3	2	1	1	3	66	66	36	6	91
1	1	1	2	1	10	3	42	68	45
1	2	3	4	3	8	65	79	26	90
3	1	3	3	3	95	28	90	96	78
2	1	3	1	3	87	19	83	42	86
3	2	3	4	1	68	79	91	30	5
1	2	3	4	2	29	83	88	38	55
1	3	3	4	1	5	95	91	47	29
1	3	3	4	1	9	87	66	57	2
2	1	3	4	3	90	22	79	62	88
2	1	3	1	3	96	58	82	41	82
3	1	3	4	1	80	6	87	11	14
